Player_ID,Player_Name,First_Season,Last_Season
76001,Alaa Abdelnaby,1990-91,1993-94
51,Mahmoud Abdul-Rauf,1990-91,1999-00
1505,Tariq Abdul-Wahad,1997-98,2002-03
949,Shareef Abdur-Rahim,1996-97,2006-07
203518,Alex Abrines,2016-17,2017-18
1630173,Precious Achiuwa,2020-21,2023-24
101165,Alex Acker,2005-06,2007-08
76009,Mark Acres,1987-88,1991-92
203112,Quincy Acy,2012-13,2017-18
200801,Hassan Adams,2006-07,2007-08
1629121,Jaylen Adams,2018-19,2019-20
203919,Jordan Adams,2014-15,2014-15
149,Michael Adams,1985-86,1994-95
203500,Steven Adams,2013-14,2023-24
912,Rafael Addison,1986-87,1995-96
1628389,Bam Adebayo,2017-18,2023-24
202399,Jeff Adrien,2010-11,2013-14
201167,Arron Afflalo,2007-08,2016-17
1630534,Ochai Agbaji,2022-23,2023-24
200772,Maurice Ager,2006-07,2009-10
76016,Mark Aguirre,1981-82,1992-93
201336,Blake Ahearn,2007-08,2010-11
76017,Danny Ainge,1981-82,1993-94
201582,Alexis Ajinca,2008-09,2016-17
202374,Solomon Alabi,2010-11,2010-11
76019,Mark Alarie,1986-87,1989-90
1630583,Santi Aldama,2021-22,2023-24
202332,Cole Aldrich,2010-11,2016-17
200746,LaMarcus Aldridge,2006-07,2020-21
724,Cory Alexander,1995-96,2003-04
